,Unnamed: 0,Months,Year Code,Year,Value
582,7722,October,2003,2003,-0.516
583,7723,October,2004,2004,0.995
584,7724,October,2005,2005,1.647
585,7725,October,2006,2006,-2.515
586,7726,October,2007,2007,0.538
587,7727,October,2008,2008,-0.103
588,7728,October,2009,2009,0.451
589,7729,October,2010,2010,1.322
590,7730,October,2011,2011,1.409
591,7731,October,2012,2012,0.437
592,7732,October,2013,2013,0.728
593,7733,October,2014,2014,0.348
594,7734,October,2015,2015,2.671
595,7735,October,2016,2016,0.749
596,7736,October,2017,2017,3.142
597,7737,October,2018,2018,3.053
598,7738,October,2019,2019,0.466
599,7739,October,2020,2020,-0.932
600,7740,November,1961,1961,-0.059
601,7741,November,1962,1962,0.222
602,7742,November,1963,1963,-1.699
603,7743,November,1964,1964,0.123
604,7744,November,1965,1965,-1.467
605,7745,November,1966,1966,0.629
606,7746,November,1967,1967,0.321
607,7747,November,1968,1968,0.362
608,7748,November,1969,1969,-1.524
609,7749,November,1970,1970,-1.191
610,7750,November,1971,1971,0.293
611,7751,November,1972,1972,0.267
612,7752,November,1973,1973,2.179
613,7753,November,1974,1974,-0.109
614,7754,November,1975,1975,0.519
615,7755,November,1976,1976,0.765
616,7756,November,1977,1977,-1.472
617,7757,November,1978,1978,-0.307
618,7758,November,1979,1979,0.36
619,7759,November,1980,1980,3.139
620,7760,November,1981,1981,-2.202
621,7761,November,1982,1982,3.857
622,7762,November,1983,1983,-3.331
623,7763,November,1984,1984,1.627
624,7764,November,1985,1985,-1.681
625,7765,November,1986,1986,-0.831
626,7766,November,1987,1987,-1.987
627,7767,November,1988,1988,0.008
628,7768,November,1989,1989,0.09
629,7769,November,1990,1990,1.347
630,7770,November,1991,1991,-0.405
631,7771,November,1992,1992,-0.352
632,7772,November,1993,1993,-0.283
633,7773,November,1994,1994,-0.112
634,7774,November,1995,1995,-0.342
635,7775,November,1996,1996,1.748
636,7776,November,1997,1997,2.579
637,7777,November,1998,1998,0.348
638,7778,November,1999,1999,-0.804
639,7779,November,2000,2000,2.803
640,7780,November,2001,2001,2.379
641,7781,November,2002,2002,-0.61
642,7782,November,2003,2003,-0.035
643,7783,November,2004,2004,-0.364
644,7784,November,2005,2005,-0.641
645,7785,November,2006,2006,1.006
646,7786,November,2007,2007,0.605
647,7787,November,2008,2008,0.484
648,7788,November,2009,2009,1.858
649,7789,November,2010,2010,0.879
650,7790,November,2011,2011,2.954
651,7791,November,2012,2012,1.802
652,7792,November,2013,2013,2.667
653,7793,November,2014,2014,0.853
654,7794,November,2015,2015,1.761
655,7795,November,2016,2016,2.567
656,7796,November,2017,2017,1.745
657,7797,November,2018,2018,0.626
658,7798,November,2019,2019,1.687
659,7799,November,2020,2020,2.986
660,7800,December,1961,1961,-1.283
661,7801,December,1962,1962,-1.976
662,7802,December,1963,1963,0.021
663,7803,December,1964,1964,-0.261
664,7804,December,1965,1965,-0.09
665,7805,December,1966,1966,0.88
666,7806,December,1967,1967,0.248
667,7807,December,1968,1968,-1.239
668,7808,December,1969,1969,-0.349
669,7809,December,1970,1970,0.328
670,7810,December,1971,1971,1.321
671,7811,December,1972,1972,-0.706
672,7812,December,1973,1973,-1.271
673,7813,December,1974,1974,2.531
674,7814,December,1975,1975,0.338
675,7815,December,1976,1976,1.925
676,7816,December,1977,1977,-0.871
677,7817,December,1978,1978,-0.757
678,7818,December,1979,1979,0.348
679,7819,December,1980,1980,1.649
680,7820,December,1981,1981,-0.439
681,7821,December,1982,1982,0.817
682,7822,December,1983,1983,-1.77
683,7823,December,1984,1984,1.93
684,7824,December,1985,1985,-2.207
685,7825,December,1986,1986,-1.09
686,7826,December,1987,1987,-0.629
687,7827,December,1988,1988,-1.202
688,7828,December,1989,1989,1.989
689,7829,December,1990,1990,2.083
690,7830,December,1991,1991,1.436
691,7831,December,1992,1992,0.01
692,7832,December,1993,1993,-1.237
693,7833,December,1994,1994,-1.235
694,7834,December,1995,1995,0.204
695,7835,December,1996,1996,0.819
696,7836,December,1997,1997,0.264
697,7837,December,1998,1998,-0.535
698,7838,December,1999,1999,-2.768
699,7839,December,2000,2000,0.168
700,7840,December,2001,2001,0.747
701,7841,December,2002,2002,-1.784
702,7842,December,2003,2003,1.886
703,7843,December,2004,2004,1.98
704,7844,December,2005,2005,3.003
705,7845,December,2006,2006,-0.656
706,7846,December,2007,2007,0.01
707,7847,December,2008,2008,0.633
708,7848,December,2009,2009,1.227
709,7849,December,2010,2010,0.893
710,7850,December,2011,2011,0.801
711,7851,December,2012,2012,2.413
712,7852,December,2013,2013,1.579
713,7853,December,2014,2014,0.513
714,7854,December,2015,2015,-0.309
715,7855,December,2016,2016,1.433
716,7856,December,2017,2017,-0.03
717,7857,December,2018,2018,2.287
718,7858,December,2019,2019,0.763
719,7859,December,2020,2020,1.102
720,7860,Dec?Jan?Feb,1961,1961,-0.742
721,7861,Dec?Jan?Feb,1962,1962,-1.309
722,7862,Dec?Jan?Feb,1963,1963,-1.29
723,7863,Dec?Jan?Feb,1964,1964,-0.312
724,7864,Dec?Jan?Feb,1965,1965,-0.124
725,7865,Dec?Jan?Feb,1966,1966,-0.54
726,7866,Dec?Jan?Feb,1967,1967,1.147
727,7867,Dec?Jan?Feb,1968,1968,-0.21
728,7868,Dec?Jan?Feb,1969,1969,-0.396
729,7869,Dec?Jan?Feb,1970,1970,-0.184
730,7870,Dec?Jan?Feb,1971,1971,1.23
731,7871,Dec?Jan?Feb,1972,1972,1.058
732,7872,Dec?Jan?Feb,1973,1973,-1.371
733,7873,Dec?Jan?Feb,1974,1974,-0.475
734,7874,Dec?Jan?Feb,1975,1975,1.153
735,7875,Dec?Jan?Feb,1976,1976,0.218
736,7876,Dec?Jan?Feb,1977,1977,1.082
737,7877,Dec?Jan?Feb,1978,1978,-0.753
738,7878,Dec?Jan?Feb,1979,1979,-0.35
739,7879,Dec?Jan?Feb,1980,1980,0.465
740,7880,Dec?Jan?Feb,1981,1981,1.47
741,7881,Dec?Jan?Feb,1982,1982,-0.599
742,7882,Dec?Jan?Feb,1983,1983,-0.331
743,7883,Dec?Jan?Feb,1984,1984,-0.706
744,7884,Dec?Jan?Feb,1985,1985,0.489
745,7885,Dec?Jan?Feb,1986,1986,0.701
746,7886,Dec?Jan?Feb,1987,1987,-0.34
747,7887,Dec?Jan?Feb,1988,1988,-0.65
748,7888,Dec?Jan?Feb,1989,1989,-1.271
749,7889,Dec?Jan?Feb,1990,1990,0.734
750,7890,Dec?Jan?Feb,1991,1991,1.217
751,7891,Dec?Jan?Feb,1992,1992,-0.313
752,7892,Dec?Jan?Feb,1993,1993,-0.55
753,7893,Dec?Jan?Feb,1994,1994,-1.353
754,7894,Dec?Jan?Feb,1995,1995,-1.302
755,7895,Dec?Jan?Feb,1996,1996,0.364
756,7896,Dec?Jan?Feb,1997,1997,-0.491
757,7897,Dec?Jan?Feb,1998,1998,0.619
758,7898,Dec?Jan?Feb,1999,1999,-0.009
759,7899,Dec?Jan?Feb,2000,2000,-2.145
760,7900,Dec?Jan?Feb,2001,2001,0.292
761,7901,Dec?Jan?Feb,2002,2002,0.643
762,7902,Dec?Jan?Feb,2003,2003,-0.245
763,7903,Dec?Jan?Feb,2004,2004,1.398
764,7904,Dec?Jan?Feb,2005,2005,1.422
765,7905,Dec?Jan?Feb,2006,2006,0.612
766,7906,Dec?Jan?Feb,2007,2007,-0.033
